date,price_jpy_per_ton
2021-01-04,840000
2021-01-06,870000
2021-01-08,890000
2021-01-14,870000
2021-02-01,860000
2021-02-04,870000
2021-02-09,890000
2021-02-15,920000
2021-02-17,940000
2021-02-24,1020000
2021-03-01,1010000
2021-03-03,1040000
2021-03-05,980000
2021-03-09,1030000
2021-03-12,1040000
2021-03-17,1020000
2021-03-22,1030000
2021-03-24,1010000
2021-03-29,1030000
2021-04-01,1020000
2021-04-07,1040000
2021-04-12,1030000
2021-04-16,1060000
2021-04-21,1050000
2021-04-26,1080000
2021-05-10,1180000
2021-05-13,1190000
2021-05-17,1170000
2021-05-20,1150000
2021-05-24,1130000
2021-06-01,1170000
2021-06-04,1130000
2021-06-09,1140000
2021-06-16,1100000
2021-06-18,1060000
2021-06-23,1070000
2021-06-25,1090000
2021-07-01,1090000
2021-07-06,1100000
2021-07-09,1070000
2021-07-14,1080000
2021-07-20,1050000
2021-07-26,1110000
2021-08-02,1110000
2021-08-04,1090000
2021-08-10,1080000
2021-08-13,1090000
2021-08-18,1060000
2021-08-20,1030000
2021-08-24,1060000
2021-08-27,1070000
2021-09-01,1100000
2021-09-03,1080000
2021-09-09,1070000
2021-09-13,1110000
2021-09-15,1080000
2021-09-21,1030000
2021-09-27,1080000
2021-10-01,1040000
2021-10-05,1070000
2021-10-11,1100000
2021-10-13,1120000
2021-10-15,1200000
2021-10-19,1340000
2021-10-20,1250000
2021-10-22,1190000
2021-11-01,1170000
2021-11-05,1150000
2021-11-09,1170000
2021-11-11,1150000
2021-11-15,1170000
2021-11-17,1150000
2021-11-24,1180000
2021-12-01,1130000
2021-12-06,1120000
2021-12-09,1140000
2021-12-14,1120000
2021-12-22,1140000
2022-01-04,1180000
2022-01-07,1160000
2022-01-13,1200000
2022-01-17,1170000
2022-01-21,1200000
2022-01-25,1170000
2022-01-27,1190000
2022-02-01,1160000
2022-02-03,1180000
2022-02-09,1190000
2022-02-16,1210000
2022-02-21,1200000
2022-03-01,1190000
2022-03-03,1240000
2022-03-07,1270000
2022-03-09,1240000
2022-03-15,1220000
2022-03-17,1250000
2022-03-22,1280000
2022-03-24,1310000
2022-03-29,1330000
2022-04-01,1310000
2022-04-06,1340000
2022-04-12,1320000
2022-04-14,1340000
2022-04-19,1360000
2022-04-22,1370000
2022-04-26,1320000
2022-05-09,1280000
2022-05-11,1260000
2022-05-13,1220000
2022-05-17,1250000
2022-05-19,1230000
2022-05-23,1260000
2022-05-26,1250000
2022-06-01,1270000
2022-06-07,1340000
2022-06-09,1360000
2022-06-13,1330000
2022-06-15,1290000
2022-06-17,1260000
2022-06-22,1270000
2022-06-24,1180000
2022-07-01,1170000
2022-07-05,1130000
2022-07-07,1080000
2022-07-11,1100000
2022-07-13,1050000
2022-07-19,1070000
2022-07-22,1050000
2022-07-27,1080000
2022-08-01,1110000
2022-08-03,1090000
2022-08-08,1110000
2022-08-12,1140000
2022-08-16,1110000
2022-08-19,1140000
2022-08-23,1160000
2022-08-26,1170000
2022-09-01,1140000
2022-09-05,1120000
2022-09-07,1160000
2022-09-09,1190000
2022-09-13,1210000
2022-09-15,1180000
2022-09-21,1170000
2022-09-26,1130000
2022-10-03,1150000
2022-10-05,1170000
2022-10-17,1190000
2022-10-20,1170000
2022-10-24,1190000
2022-10-27,1200000
2022-11-01,1170000
2022-11-07,1250000
2022-11-09,1230000
2022-11-14,1250000
