REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,SINGAPORE,0,4754.0,17.0,/,7545.0,133612.0,730.0,75694.0,565.0,222917.0
Asia,REST OF,0,102056.0,14392.0,/,13799.0,5474.0,175.0,3231.0,0.0,139127.0
TOTAL ASIA,NAN,0,106810.0,14409.0,0,21344.0,139086.0,905.0,78925.0,565.0,362044.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,75019.0,5476.0,/,39929.0,0.0,560.0,9366.0,213.0,130563.0
Europe,REST OF,0,8186.0,8800.0,/,1498.0,1600.0,482.0,1664.0,8.0,22238.0
TOTAL Europe,NAN,0,83205.0,14276.0,0,41427.0,1600.0,1042.0,11030.0,221.0,152801.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,9901.0,962.0,11,4410.0,0.0,0.0,12446.0,3.0,27733.0
TOTAL U.S.A.,NAN,0,9901.0,962.0,11,4410.0,0.0,0.0,12446.0,3.0,27733.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,0,199916.0,29647.0,11,67181.0,140686.0,1947.0,102401.0,789.0,542578.0
