Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Aluminium Alloy,,,,,,
,,,,,,,
,,,,,,,
Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage
,,,,,,,
Belgium,Antwerp,420,0,0,420,420,0
Germany,Hamburg,0,0,0,0,0,0
Hong Kong SAR,Hong Kong SAR,0,0,0,0,0,0
Italy,Genoa,120,0,0,120,120,0
Italy,Leghorn,0,0,0,0,0,0
Italy,Trieste,680,0,0,680,680,0
Korea (South),Busan,0,0,0,0,0,0
Korea (South),Gwangyang,0,0,0,0,0,0
Korea (South),Incheon,0,0,0,0,0,0
Malaysia,Johor,0,0,0,0,0,0
Malaysia,Port Klang,0,0,0,0,0,0
Netherlands,Amsterdam,0,0,0,0,0,0
Netherlands,Moerdijk,0,0,0,0,0,0
Netherlands,Rotterdam,0,0,0,0,0,0
Netherlands,Vlissingen,80,0,0,80,80,0
Singapore,Singapore,0,0,0,0,0,0
Spain,Barcelona,140,0,0,140,140,0
Spain,Bilbao,60,0,0,60,60,0
Taiwan,Kaohsiung,0,0,0,0,0,0
UK,Liverpool,0,0,0,0,0,0
,,,,,,,
Total,,1500,0,0,1500,1500,0
,,,,,,,
+/-,,0,,,0,,
,,,,,,,
,,,,,,,
,Cobalt,,,,,,
,,,,,,,
,,,,,,,
Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage
,,,,,,,
Belgium,Antwerp,3,0,0,3,0,3
Netherlands,Moerdijk,0,0,0,0,0,0
Netherlands,Rotterdam,65,0,0,65,0,65
Singapore,Singapore,19,0,0,19,0,19
USA,Baltimore,34,0,0,34,0,34
,,,,,,,
Total,,121,0,0,121,0,121
,,,,,,,
+/-,,0,,,0,,
,,,,,,,
,,,,,,,
,Copper,,,,,,
,,,,,,,
,,,,,,,
Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage
,,,,,,,
Belgium,Antwerp,0,0,0,0,0,0
Germany,Hamburg,3075,0,0,3075,3075,0
Hong Kong SAR,Hong Kong SAR,11250,0,0,11250,11250,0
Italy,Leghorn,875,0,0,875,875,0
Italy,Trieste,0,0,0,0,0,0
Korea (South),Busan,20125,500,125,20500,18075,2425
Korea (South),Gwangyang,25000,1750,0,26750,13200,13550
Korea (South),Incheon,0,0,0,0,0,0
Malaysia,Johor,25,0,0,25,0,25
Malaysia,Port Klang,0,0,0,0,0,0
Netherlands,Moerdijk,0,0,0,0,0,0
Netherlands,Rotterdam,10525,0,0,10525,10275,250
Netherlands,Vlissingen,0,0,0,0,0,0
Saudi Arabia,Jeddah,0,0,0,0,0,0
Singapore,Singapore,6575,0,300,6275,5900,375
Spain,Barcelona,0,0,0,0,0,0
Spain,Bilbao,0,0,0,0,0,0
Sweden,Helsingborg,0,0,0,0,0,0
Taiwan,Kaohsiung,81875,0,375,81500,61050,20450
UAE,Dubai,0,0,0,0,0,0
UK,Liverpool,0,0,0,0,0,0
USA,Baltimore,3450,0,0,3450,3450,0
USA,Chicago,0,0,0,0,0,0
USA,Mobile,0,0,0,0,0,0
USA,New Orleans,11900,0,0,11900,11900,0
,,,,,,,
Total,,174675,2250,800,176125,139050,37075
,,,,,,,
+/-,,0,,,1450,,
,,,,,,,
,,,,,,,
,Lead,,,,,,
,,,,,,,
,,,,,,,
Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage
,,,,,,,
Belgium,Antwerp,0,0,0,0,0,0
Germany,Hamburg,0,0,0,0,0,0
Hong Kong SAR,Hong Kong SAR,0,0,0,0,0,0
